,name,acc_name,id
13,Achim Jürgen Post,achim_p,1979223691
28,Adis Ahmetovic,adis.a93,25699539826
29,Albert Stegemann,albert.stegemann,25376883363
30,Alexander Bartz,bundesbartz,45486851663
31,Alexander Engelhard,alexander_engelhard_csu,48111005815
32,Alexander Engelhard,alex.engelhardt,3679960301
33,Alexander Graf Lambsdorff,alexandergraflambsdorff,5760876068
34,Alexander Hoffmann,alexander.hoffmannmdb,5708286586
35,Alexander Hoffmann,lxhoffmann,1558234338
40,Ana-Maria Trăsnea,amtrasnea,26039470493
42,Andrea Lindholz,andrea.lindholz,4852355566
43,Andreas Audretsch,andreasaudretsch,469893070
44,Andreas Bleck,andreasbleckmdb,42531002287
45,Andreas Jung,andreasjung.kn,42820935020
46,Andreas Larem,andreas.larem,42546842440
47,Andreas Lenz,andreas.lenz.bundestag,2007850860
48,Andreas Mehltretter,andreasmehltretter,5441790855
49,Andreas Rimkus,rimkusandreas,3220353201
50,Andreas Schwarz,andreas.schwarz.official,2092340050
51,Andreas Schwarz,andreas.schwarz.mdl,6941126571
52,Andreas Schwarz,andreas.schwarz.mdb,6773979151
13,Andrej Konstantin Hunko,andrejhunko,4056305375
54,Anette Kramme,anettekramme,5618885318
57,Anikó Merten,aniko_teamwunderkerze,31719567654
58,Anja Liebert,anjas_ideen,8650842664
59,Anja Schulz,anja_schulz_liberal,47603660574
60,Anke Hennig,ankehennig_bramsche,11170429380
28,Annalena Charlotte Alma Baerbock,abaerbock,7012133944
64,Anne Janssen,anne_janssen_26,45403842644
65,Anne König,annekoenig_,7808310269
29,Anne Monika Spallek,aspallek,6254259652
30,Annette Widmann-Mauz,widmannmauz,7595057467
31,Annika Gisela Klose,annikloseberlin,3648280598
32,Ansgar Guido Karl Johannes Heveling,ansgar.heveling.mdb,24888367647
66,Antje Tillmann,antje_tillmann,45966588973
33,Anton Gerhard Hofreiter,toni_hofreiter,2162986305
34,Ariane Fäscher,ariane_faescher,44796382360
68,Armand Zorn,armand_zorn,354098041
74,Armin Laschet,armin_laschet,4852192933
75,Armin Schwarz,armin_schwarz_cdu,23415335263
76,Artur Auernhammer,arturauernhammer,8635142535
77,Astrid Damerow,astrid_damerow,48309762605
78,Astrid Mannes,astrid.mannes.mdb,34682182742
79,Ates Nils Gürpinar,atesgurpinar,5732099709
35,Awet Tesfaiesus,awettesfaiesus,37573887006
83,Axel Helmut Schäfer,axel.schaefer.mdb,18385924339
121,Axel Knoerig,axelknoerig,14252617694
122,Beate Müller-Gemmeke,gruenebeate,17119943994
123,Beatrix Storch,beatrix.von.storch,5443965097
124,Benjamin Strasser,bstrasser,178360704
40,Bernd Helmut Westphal,bestphal,21608316238
126,Bernd Reuther,reutherbernd,5866809226
42,Bernhard Daldrup,bernharddaldrup,6056725554
127,Bernhard Herrmann,bernhard_herrmann_,46254373148
43,Bernhard Siegfried Loos,loosbernhard,6291003038
44,Bettina Margarethe Wiesmann,bmwiesmann,19057821327
45,Bettina Martha Lieselotte Hoffmann,dr.bettina.hoffmann,8595548077
128,Bettina Müller,betmueller,5499326551
46,Bettina Stark-Watzinger,bettina.starkwatzinger,2072724745
47,Bijan Djir-Sarai,bijan_djirsarai_,5546636637
48,Björn Manuel Simon,bjoernsimon.mdb,17298629987
49,Boris Mijatović,boris.mijatovic,5812282908
50,Brian Nickholz,briannickholz,5390206908
52,Britta Maria Haßelmann,britta.tennis,5907487134
51,Britta Maria Haßelmann,britta.hasselmann,45936092066
153,Bruno Hönel,bruno.hoenel,5558660387
155,Bärbel Bas,bundestagspraesidentin,56817584420
54,Bärbel Kofler,gudrun_kofler,47280680622
179,Canan Bayram,lieblingxhain,5354211755
180,Cansel Kiziltepe,canselkiziltepe,271860340
59,Caren Nicole Lay,laurenmurray,1789505976
58,Caren Nicole Lay,mclaren,263754527
57,Caren Nicole Lay,unamamalatinaenparis,626274333
181,Carina Konrad,ca.konrad,2164103294
182,Carl-Julius Cronenberg,cjcronenberg,20167922078
183,Carlos Kasper,car.los.kasper,45757165859
184,Carmen Wegge,carmenwegge,8946126681
185,Carolin Wagner,carolinwagner.in,44580185730
186,Carsten Brodesser,carsten.brodesser,5742831103
60,Carsten Christoffer Linnemann,carsten_linnemann,4708420619
189,Carsten Körber,carsten.koerber,45885642952
191,Carsten Müller,car.mueller,8287765078
193,Carsten Schneider,ostbeauftragter.schneider,56135639994
192,Carsten Schneider,schneidercar_spd,4703498677
194,Cem Özdemir,cem.oezdemir,3505294052
