,name,party,district,district_no,state_abb,number_first_votes,percent_first_votes,seat_number,attr_second_votes
0,Achim Jürgen Post,SPD,Minden-Lübbecke I,134.0,NW,58168.0,38.390665,13.0,57605.0
1,Adis Ahmetovic,SPD,Stadt Hannover I,41.0,NI,44538.0,34.883338,29.0,51672.0
2,Agnes Monika Brugger,GRÜNE,,,BW,,,3.0,53801.0
3,Albert Robert Rupprecht,CSU,Weiden,235.0,BY,50575.0,38.482317,,
4,Albert Stegemann,CDU,Mittelems,31.0,NI,72523.0,40.467488,29.0,57557.0
5,Albrecht Heinz Erhard Glaser,AfD,,,HE,,,5.0,58196.0
6,Alexander Bartz,SPD,,,NI,,,25.0,51672.0
7,Alexander Dobrindt,CSU,Weilheim,226.0,BY,57179.0,41.860244,1.0,109219.0
8,Alexander Engelhard,CSU,Neu-Ulm,255.0,BY,69676.0,37.193462,,
9,Alexander Gamal Radwan,CSU,Bad Tölz-Wolfratshausen – Miesbach,223.0,BY,55501.0,41.313523,,
10,Alexander Graf Lambsdorff,FDP,,,NW,,,3.0,53817.0
11,Alexander Hoffmann,CSU,Main-Spessart,249.0,BY,60489.0,38.580859,,
12,Alexander Müller,FDP,,,HE,,,4.0,60232.0
13,Alexander Paul Föhr,CDU,,,BW,,,6.0,147761.0
14,Alexander Richard Throm,CDU,Heilbronn,267.0,BW,50299.0,27.798564,13.0,147761.0
15,Alexander Ulrich,DIE LINKE,,,RP,,,1.0,76123.0
16,Ali Abass Yahya Al-Dailami,DIE LINKE,,,HE,,,2.0,35646.0
17,Alice Elisabeth Weidel,AfD,,,BW,,,1.0,51940.0
18,Alois Georg Josef Rainer,CSU,Straubing,231.0,BY,58487.0,44.282167,,
19,Amira Mohamed Ali,DIE LINKE,,,NI,,,1.0,49552.0
20,Ana-Maria Trăsnea,SPD,,,BE,,,6.0,62402.0
21,Andrea Lindholz,CSU,Aschaffenburg,247.0,BY,59269.0,40.724072,6.0,109219.0
22,Andreas Audretsch,GRÜNE,,,BE,,,4.0,61789.0
23,Andreas Bleck,AfD,,,RP,,,3.0,53801.0
24,Andreas Franz Scheuer,CSU,Passau,229.0,BY,41530.0,30.653971,3.0,109219.0
25,Andreas Jung,CDU,Konstanz,287.0,BW,53362.0,34.143813,3.0,147761.0
26,Andreas Larem,SPD,Darmstadt,186.0,HE,51046.0,27.377262,15.0,53531.0
27,Andreas Lenz,CSU,Erding – Ebersberg,213.0,BY,70656.0,42.25711,,
28,Andreas Mattfeldt,CDU,Osterholz – Verden,34.0,NI,50274.0,33.654882,21.0,57557.0
29,Andreas Mehltretter,SPD,,,BY,,,15.0,56718.0
30,Andreas Milan Gerhard Philippi,SPD,Göttingen,53.0,NI,51385.0,32.220947,17.0,51672.0
31,Andreas Rimkus,SPD,Düsseldorf II,107.0,NW,41169.0,29.17015,19.0,57605.0
32,Andreas Schwarz,SPD,,,BY,,,11.0,56718.0
33,Andrej Konstantin Hunko,DIE LINKE,,,NW,,,4.0,61158.0
34,Andrew John Ullmann,FDP,,,BY,,,10.0,53239.0
35,André Berghegger,CDU,Osnabrück-Land,38.0,NI,54535.0,36.215186,22.0,57557.0
36,André Hahn,DIE LINKE,,,SN,,,4.0,46002.0
37,Anette Kramme,SPD,,,BY,,,4.0,56718.0
38,Angelika Glöckner,SPD,Pirmasens,210.0,RP,39711.0,30.437815,8.0,57128.0
39,Anikó Merten,FDP,,,NI,,,8.0,59330.0
40,Anja Liebert,GRÜNE,,,NW,,,27.0,54726.0
41,Anja Margit Reinalter,GRÜNE,,,BW,,,18.0,53801.0
42,Anja Maria-Antonia Karliczek,CDU,Steinfurt III,128.0,NW,52445.0,33.979513,2.0,77779.0
43,Anja Schulz,FDP,,,NI,,,3.0,59330.0
44,Anja Troff-Schaffarzyk,SPD,,,NI,,,14.0,51672.0
45,Anja Weisgerber,CSU,Schweinfurt,250.0,BY,63697.0,40.883038,8.0,109219.0
46,Anke Hennig,SPD,,,NI,,,18.0,51672.0
47,Anke Margarete Domscheit-Berg,DIE LINKE,,,BB,,,2.0,64881.0
48,Ann-Veruschka Jurisch,FDP,,,BW,,,14.0,50447.0
49,Anna Helga Angela Hohmann,SPD,,,NI,,,28.0,51672.0
50,Anna Katharina Kassautzki,SPD,Vorpommern-Rügen – Vorpommern-Greifswald I,15.0,MV,40429.0,24.332392,2.0,44561.0
51,Anna Kristina Lührmann,GRÜNE,,,HE,,,5.0,57935.0
52,Anna Maria Christmann,GRÜNE,,,BW,,,8.0,53801.0
53,Annalena Charlotte Alma Baerbock,GRÜNE,,,BB,,,1.0,68736.0
54,Anne Janssen,CDU,,,NI,,,6.0,57557.0
55,Anne König,CDU,Borken II,126.0,NW,70334.0,43.713137,,
56,Anne Monika Spallek,GRÜNE,,,NW,,,21.0,54726.0
57,Annegret Kramp-Karrenbauer,CDU,,,SL,,,1.0,33784.0
58,Annette Widmann-Mauz,CDU,Tübingen,290.0,BW,43024.0,26.952665,2.0,147761.0
59,Annika Gisela Klose,SPD,,,BE,,,4.0,62402.0
60,Ansgar Guido Karl Johannes Heveling,CDU,Krefeld I – Neuss II,110.0,NW,51500.0,33.396885,,
61,Antje Tillmann,CDU,,,TH,,,2.0,71138.0
62,Anton Gerhard Hofreiter,GRÜNE,,,BY,,,2.0,56202.0
63,Ariane Fäscher,SPD,Oberhavel – Havelland II,58.0,BB,50697.0,26.303583,10.0,45057.0
64,Armand Zorn,SPD,Frankfurt am Main I,182.0,HE,41604.0,28.991728,23.0,53531.0
65,Armin Jürgen Grau,GRÜNE,,,RP,,,4.0,58627.0
66,Armin Laschet,CDU,,,NW,,,1.0,77779.0
67,Armin Schwarz,CDU,,,HE,,,6.0,53822.0
68,Artur Auernhammer,CSU,Ansbach,241.0,BY,73312.0,38.384452,,
69,Astrid Damerow,CDU,Nordfriesland – Dithmarschen Nord,2.0,SH,43745.0,30.367928,2.0,55486.0
70,Astrid Mannes,CDU,,,HE,,,11.0,53822.0
71,Astrid Timmermann-Fechter,CDU,,,NW,,,10.0,77779.0
72,Ates Nils Gürpinar,DIE LINKE,,,BY,,,4.0,52710.0
73,Awet Tesfaiesus,GRÜNE,,,HE,,,9.0,57935.0
74,Axel Helmut Schäfer,SPD,Bochum I,140.0,NW,58235.0,38.29562,54.0,57605.0
75,Axel Karl Müller,CDU,Ravensburg,294.0,BW,44597.0,30.558449,,
76,Axel Knoerig,CDU,Diepholz – Nienburg I,33.0,NI,49116.0,33.758093,24.0,57557.0
77,Barbara Lenk,AfD,Meißen,155.0,SN,45705.0,30.999681,7.0,75880.0
78,Beate Müller-Gemmeke,GRÜNE,,,BW,,,6.0,53801.0
79,Beate Walter-Rosenheimer,GRÜNE,,,BY,,,19.0,56202.0
80,Beatrix Storch,AfD,,,BE,,,1.0,53008.0
81,Bengt Axel Bergt,SPD,Segeberg – Stormarn-Mitte,8.0,SH,63369.0,32.017805,9.0,61757.0
82,Benjamin Strasser,FDP,,,BW,,,6.0,50447.0
83,Bernd Baumann,AfD,,,HH,,,1.0,50537.0
84,Bernd Ferdinand Rützel,SPD,,,BY,,,7.0,56718.0
85,Bernd Hans Schattner,AfD,,,RP,,,4.0,53801.0
