,name,acc_name,id,follower_cnt,following_cnt,post_cnt,bio,category
0,Achim Jürgen Post,achim_p,1979223691,2538,1444,3516,"#SPD-MdB für #Minden-#Lübbecke, stellv. Vorsitzender der @spdbt-Fraktion, Vorsitzender der @NRWSPD & stellv. @spdde-Vorsitzender (Postings/Team = tap)",
1,Adis Ahmetovic,adis.a93,25699539826,15653,850,399,"❤️ MdB für Hannover und Vorsitzender der @spd_hannover 
🏛️ Außen- und Sicherheitspolitiker
📢 Sprecher für Internationale Klima- und Energiepolitik",Politician
2,Albert Stegemann,albert.stegemann,25376883363,3974,1291,504,"🌾👷‍♂️ Bundestagsabgeordneter für das Emsland und die Grafschaft Bentheim
🗣 Sprecher für Landwirtschaft/Ernährung  @cducsubt
🐮 Landwirt aus Überzeugung",Politician
3,Alexander Bartz,bundesbartz,45486851663,2921,7334,774,"🏛️ Abgeordneter im Deutschen Bundestag
💚 Zuhause im Oldenburger Münsterland
🤝 Handel 🗺️ Tourismus 🍽️ Ernährung
@spdbt",Politician
4,Alexander Engelhard,alexander_engelhard_csu,48111005815,1355,96,389,"💙Bundestagsabgeordneter für den Wahlkreis Neu-Ulm
💙CSU Kreisrat in Neu-Ulm
👨‍👩‍👧‍👧Familienmensch und 🌾Getreidekenner",Politician
6,Alexander Graf Lambsdorff,alexandergraflambsdorff,5760876068,17873,449,415,Botschafter der Bundesrepublik Deutschland in der Russischen Föderation,Consulate & Embassy
7,Alexander Hoffmann,alexander.hoffmannmdb,5708286586,2564,917,960,"🇩🇪Mitglied des Deutschen Bundestages 
🔹Parlamentarischer Geschäftsführer (CSU)
📍Wahlkreis Main-Spessart/Miltenberg",Politician
9,Ana-Maria Trăsnea,amtrasnea,26039470493,3710,2272,548,"🏫 MdB und Staatssekretärin a.D.
🌹 Co-Vorsitzende @spd_frauen_berlin 
⚖️Demokratie I 👨‍👩‍👧Jugend & Familie I 
❤️Migration I 🇪🇺 & 🌍 I
😻Katzenmama",Political Candidate
10,Andrea Lindholz,andrea.lindholz,4852355566,2900,783,487,"🇩🇪 direkt gewählte Bundestagsabgeordnete 
📍Wahlkreis Aschaffenburg #bwk247
▶️ Stv. Vorsitzende @cducsubt Innen & Recht",Personal blog
11,Andreas Audretsch,andreasaudretsch,469893070,4628,1058,481,"Stv. Fraktionsvorsitzender @gruenebundestag
Finanzen | Haushalt | Wirtschaft | Arbeit & Soziales
Für Demokratie, gegen Rechtsextremismus
💚 Neukölln",Politician
12,Andreas Bleck,andreasbleckmdb,42531002287,2035,297,1021,Mitglied des Bundestages,Politician
13,Andreas Jung,andreasjung.kn,42820935020,5781,6232,572,"📍Bundestagsabgeordneter für den WK Konstanz 
👉 Stellv. Bundesvorsitzender der @cdu
🌳 Vorsitzender der AG Klimaschutz & Energie der @cducsubt",Politician
14,Andreas Larem,andreas.larem,42546842440,2395,416,830,"🏛 Mitglied des Deutschen Bundestages 🔴 @spdde 
📍Für Darmstadt /Darmstadt-Dieburg 
💼 Auswärtiger Ausschuss /Vereinte Nationen
#wahlkreis185 #laremläuft",Politician
15,Andreas Lenz,andreas.lenz.bundestag,2007850860,5874,5138,2209,Mitglied des Bundestages - für Erding und Ebersberg,
16,Andreas Rimkus,rimkusandreas,3220353201,2158,1231,880,...MdB...Düsseldorfer Herz...voller Energie...gemeinsam stark...,
18,Andreas Schwarz,andreas.schwarz.mdl,6941126571,3949,1638,1324,"🌻 Fraktionschef von @fraktiongruenbw
📍 Kirchheim unter Teck
💛 Fan von @thelaend
🫱🏻‍🫲🏽 im Landtag für Klimaschutz, Zusammenhalt und Innovation",Not a business
19,Andreas Schwarz,andreas.schwarz.mdb,6773979151,3072,1025,2958,"🏫Bundestagsabgeordneter @spdbt
📍Bamberg und Forchheim 
💰Haushalts- und 🛡️Verteidigungspolitik.",Politician
20,Andrej Konstantin Hunko,andrejhunko,4056305375,1406,153,114,"MdB  | 🗣️ @buendnis_sahrawagenknecht & Vorsitzender der #UEL-Fraktion im @councilofeurope
Alles Weitere: 👇",Politician
