,name,account,party,follower_cnt,following_cnt,post_cnt,bio
0,Achim Jürgen Post,achim_p,SPD,2538,1444,3516,"#SPD-MdB für #Minden-#Lübbecke, stellv. Vorsitzender der @spdbt-Fraktion, Vorsitzender der @NRWSPD & stellv. @spdde-Vorsitzender (Postings/Team = tap)"
1,Adis Ahmetovic,adis.a93,SPD,15653,850,399,"❤️ MdB für Hannover und Vorsitzender der @spd_hannover 
🏛️ Außen- und Sicherheitspolitiker
📢 Sprecher für Internationale Klima- und Energiepolitik"
2,Albert Stegemann,albert.stegemann,CDU,3974,1291,504,"🌾👷‍♂️ Bundestagsabgeordneter für das Emsland und die Grafschaft Bentheim
🗣 Sprecher für Landwirtschaft/Ernährung  @cducsubt
🐮 Landwirt aus Überzeugung"
3,Alexander Bartz,bundesbartz,SPD,2921,7334,774,"🏛️ Abgeordneter im Deutschen Bundestag
💚 Zuhause im Oldenburger Münsterland
🤝 Handel 🗺️ Tourismus 🍽️ Ernährung
@spdbt"
4,Alexander Engelhard,alexander_engelhard_csu,CSU,1355,96,389,"💙Bundestagsabgeordneter für den Wahlkreis Neu-Ulm
💙CSU Kreisrat in Neu-Ulm
👨‍👩‍👧‍👧Familienmensch und 🌾Getreidekenner"
5,Alexander Graf Lambsdorff,alexandergraflambsdorff,FDP,17873,449,415,Botschafter der Bundesrepublik Deutschland in der Russischen Föderation
6,Alexander Hoffmann,alexander.hoffmannmdb,CSU,2564,917,960,"🇩🇪Mitglied des Deutschen Bundestages 
🔹Parlamentarischer Geschäftsführer (CSU)
📍Wahlkreis Main-Spessart/Miltenberg"
7,Ana-Maria Trăsnea,amtrasnea,SPD,3710,2272,548,"🏫 MdB und Staatssekretärin a.D.
🌹 Co-Vorsitzende @spd_frauen_berlin 
⚖️Demokratie I 👨‍👩‍👧Jugend & Familie I 
❤️Migration I 🇪🇺 & 🌍 I
😻Katzenmama"
8,Andrea Lindholz,andrea.lindholz,CSU,2900,783,487,"🇩🇪 direkt gewählte Bundestagsabgeordnete 
📍Wahlkreis Aschaffenburg #bwk247
▶️ Stv. Vorsitzende @cducsubt Innen & Recht"
9,Andreas Audretsch,andreasaudretsch,GRÜNE,4628,1058,481,"Stv. Fraktionsvorsitzender @gruenebundestag
Finanzen | Haushalt | Wirtschaft | Arbeit & Soziales
Für Demokratie, gegen Rechtsextremismus
💚 Neukölln"
